Title,Abstract,Authors,Publication Year,Summary
Changes in expression of breast cancer tumor biomarkers between primary tumors and corresponding metastatic sites: common patterns and relationships with survival.,"In metastatic breast cancer, differences in expression patterns of estrogen receptor (ER), progesterone receptor (PR), and human epidermal growth factor receptor-2 (HER2) between the primary tumor (PT) and metastatic site (MET) have been reported. However, there is limited understanding of the relationship of tumor subtype discordance and overall survival (OS). We evaluated patterns of ER/PR/HER2 in PTs and corresponding METs and assessed the relationship between these patterns and OS. Patients diagnosed at our center with metastatic breast cancer (2011-2020) were included. ER/PR were stratified as < 1%/1-10%/ > 10% by immunohistochemistry and HER2 as positive/negative by immunohistochemistry/FISH. Tumor subtypes were classified as ER or PR + /HER2-, HER2+ , or triple-negative. Biomarker discordance data from PTs to METs were analyzed for expression patterns. OS was assessed. Of 254 patients, 41 (16.1%) had synchronous and 213 (83.9%) had metachronous METs. Category change of ER/PR/HER2 expression was observed in 56 (22.0%), 117 (40.5%), and 30 (11.8%) patients, respectively. Tumor subtype changed in 56 (22.0%) patients. We identified a difference between PT and MET from ER > 10% to ER < 1% (n = 28,16.2% p < 0.01); PR > 10% to PR < 1% (n = 54,48.2%, p < 0.001); PR > 10% to PR 1-10% (n = 18,16.1%, p < 0.001), and ER or PR+/HER2- to triple-negative (n = 19,13.0%, p = 0.03). In log-rank analysis, change from an ER or PR+/HER2- (5-year OS 88.6%) PT to a HER2+(67.5%) or triple-negative (54.6%) MET was associated with decreased survival (p < 0.01); however, in multivariate analysis, discordant biomarker expression was not associated with decreased survival (p > 0.05). Tumor expression of ER/PR/HER2 can differ between the PT and MET. Loss of ER/PR expression is common and may be related to worse survival. Routine assessment of MET tumor markers could inform prognosis and therapeutic decision-making.",['Schwieger L; Postlewait LM; Liu Y; Jou S; Yi S; Peng L; Li X'],2024,differences in expression patterns between primary tumor and metastatic site (MET) have been reported. there is limited understanding of the relationship between tumor subtype discordance and overall survival (OS)
"[Trends, challenges, and reflections on early-onset gastric cancer].","Early onset gastric cancer (EOGC), as a distinct type of gastric cancer, has seen a gradually increasing incidence in recent years, imposing significant negative impacts on society and families, and has attracted widespread attention. EOGC presents a series of clinical characteristics, such as a higher prevalence among women, pathological types predominantly being poorly differentiated or undifferentiated, and Lauren classification often being diffuse, making it more prone to distant metastasis. However, the causes and mechanisms of its onset are not yet fully understood. Notably, about 10% of EOGC cases exhibit familial clustering and germline mutations in the Cadherin-1 (CDH1) or α-1 catenin (CTNNA1) genes, known as hereditary diffuse gastric cancer (HDGC). These unique clinical features pose significant challenges for the diagnosis and treatment of EOGC. The core of treatment for early onset gastric cancer focuses on strong efficacy, function preservation, rehabilitation, and social reintegration. Clinically, a multidisciplinary approach and comprehensive treatment are essential, with equal emphasis on physiological and psychological aspects, balancing therapeutic effectiveness with functional outcomes, to benefit more patients with EOGC.",['Wang XF; Sun YH'],2024,EOGC has seen a gradually increasing incidence in recent years. pathological types predominantly being poorly differentiated or undifferentiated. about 10% of EOGC cases exhibit familial clustering and germline mutations.
Benefit-finding profiles and comparison of caregiving ability among informal caregivers of patients with lung cancer: A latent profile analysis.,"This study aimed to explore the benefit finding (BF) profiles among informal caregivers of patients with lung cancer, identify demographic and disease characteristics, and analyze differences in caregiving ability between profiles. This cross-sectional study utilized convenience sampling to select 272 informal caregivers of patients with lung cancer from a tertiary care hospital in Guangzhou, China. The research instruments used included the Demographic and Disease Characteristics Questionnaire, the revised version of the BF Scale, and the Chinese version of the Family Caregiver Task Inventory. Data analysis was performed using latent profile analysis, chi-square test, Fisher's exact probability test, Kruskal-Wallis test, and multivariate logistic regression. (1) BF can be divided into three profiles: ""high benefit-family and personal growth"" (Profile 1, 7.7%), ""moderate benefit-unclear perception"" (Profile 2, 44.9%), and ""low benefit-coping ability deficient"" (Profile 3, 47.4%). (2) Having a cocaregiver and a disease duration of 6-12 months were more likely to belong to Profile 1; caregivers of patients aged 40-60 years tended to belong to Profile 2; caregivers of older patients with disease duration > 12 months and clinical stage II or III were more likely to belong to Profile 3. (3) There were significant differences in the total score of caregiving ability and the scores of each dimension among the different BF profiles (<i>P</i> < 0.001), and the caregiving abilities of Profile 1 and Profile 2 were higher than those of Profile 3. There was heterogeneity in BF among informal caregivers of patients with lung cancer. Healthcare professionals can identify the key profiles of lung-cancer caregivers based on characteristics such as age, clinical stage, disease duration, and cocaregiver status and enhance their caregiving ability through targeted nursing guidance.",['Lin X; Chen Z; Zhao Q; Zhou X'],2024,study aimed to explore benefit finding profiles among informal caregivers of patients with lung cancer. a cross-sectional study used convenience sampling to select 272 informal caregivers. a study used convenience sampling to select 272 informal caregivers of patients with lung cancer.
SCOUT® Radar Localization at Time of Breast Biopsy.,"Evaluate surgical utilization of SCOUT reflectors placed at breast biopsy. Consent was waived for this retrospective IRB-approved, HIPAA-compliant study. Breast biopsy examinations that reported the term ""SCOUT"" between January 2021 and June 2022 were identified using an institutional search engine. Cases were included if a SCOUT reflector was placed at time of breast biopsy and excluded if lesion pathology was already known. Analysis was performed at the lesion level. A multivariate-regression analysis evaluated 6 variables with potential impact on SCOUT utilization. One hundred twenty-one lesions in 112 patients met inclusion criteria. Biopsy yielded 93% (113/121) malignant, 3% (4/121) elevated risk, 2% (2/121) benign-discordant, and 2% (2/121) benign-concordant results. Two cases lost to follow-up were excluded. SCOUT reflectors were utilized for lumpectomy (58%, 69/119 lesions) and excisional biopsy (6%, 7/119 lesions). SCOUTs were not utilized due to mastectomy (23%, 27/119), subsequent wire localization (2%, 2/119), and nonsurgical cases (12%, 14/119). Reflector placement utilization was 52% higher for findings less than 3.5 cm in size (P <.001), 33% higher in patients without prior treated breast cancer (P = .012), and 19% higher in patients with no suspicious ipsilateral lymph node (P = .048). SCOUT reflector placement at time of biopsy was utilized for surgery 64% (76/119) of the time, although most (98%, 119/121) biopsies were malignant, elevated risk, or benign-discordant. Factors increasing reflector utilization include smaller lesion size, no suspicious ipsilateral lymph node, and no prior treated breast cancer.",['Dashevsky BZ; Muneer MS; Hao M; Liang T; Wapnir IL; Poplack SP'],2024,"biopsy examinations reported the term ""SCOUT"" between January 2021 and June 2022. a retrospective IRB-approved, HIPAA-compliant study was performed. a multivariate-regression analysis evaluated 6 variables with potential impact on SCOUT utilization."
Factors Associated with Patient Education in Patients with Chronic Obstructive Pulmonary Disease (COPD) - A Primary Health Care Register-Based Study.,"Patient education in chronic obstructive pulmonary disease (COPD) is recommended in treatment strategy documents, since it can improve the ability to cope with the disease. Our aim was to identify the extent of and factors associated with patient education in patients with COPD in a primary health care setting. In this nationwide study, we identified 29,692 COPD patients with a registration in the Swedish National Airway Register (SNAR) in 2019. Data on patient education and other clinical variables of interest were collected from SNAR. The database was linked to additional national registers to obtain data about pharmacological treatment, exacerbations and educational level. Patient education had been received by 44% of COPD patients, 72% of whom had received education on pharmacological treatment including inhalation technique. A higher proportion of patients who had received education were offered smoking cessation support, had performed spirometry and answered the COPD Assessment Test (CAT), compared with patients without patient education. In the adjusted analysis, GOLD grade 2 (OR 1.29, 95% CI 1.18-1.42), grade 3 (OR 1.41, 95% CI 1.27-1.57) and grade 4 (OR 1.79, 95% CI 1.48-2.15), as well as GOLD group E (OR 1.17, 95% CI 1.06-1.29), ex-smoking (OR 1.70, 95% CI 1.56-1.84) and current smoking (OR 1.45, 95% CI 1.33-1.58) were positively associated with having received patient education, while cardiovascular disease (OR 0.92, 95% CI 0.87-0.98) and diabetes (OR 0.93, 95% CI 0.87-1.00) were negatively associated with receipt of patient education. Fewer than half of the patients had received patient education, and the education had mostly been given to those with more severe COPD, ex- and current smokers and patients with fewer comorbidities. Our study highlights the need to enhance patient education at an earlier stage of the disease.",['Lindh A; Giezeman M; Theander K; Zakrisson AB; Westerdahl E; Stridsman C'],2024,"a nationwide study identified 29,692 COPD patients with a registration in the Swedish national airway register (SNAR) in 2019. the database was linked to additional national registers to obtain data about pharmacological treatment, exacerbations and educational level."
"Prospective associations between breast feeding, metabolic health, inflammation and bone density in women with prior gestational diabetes mellitus.","The aim of the study is to investigate prospective associations between breastfeeding and metabolic outcomes, inflammation, and bone density in women with prior gestational diabetes mellitus (GDM). We prospectively included 171 women with GDM from the MySweetheart trial. Women were followed during pregnancy (from 24 up to 32 weeks' gestational age) up to 1 year postpartum. Outcomes included weight, weight retention, body composition, insulin resistance and secretion indices, C reactive protein (CRP), and bone density. We compared differences in the associations between breastfeeding and health outcomes between women who breast fed <6 months vs ≥6 months. Analyses were adjusted for potential medical and sociodemographic confounders. Breastfeeding initiation was 94.2% (n=161) and mean breastfeeding duration was 6.6 months. Breastfeeding duration was independently associated with lower weight, weight retention, body fat, visceral adipose tissue, lean mass, CRP, insulin resistance (Homeostatic Model Assessment for Insulin Resistance), and insulin secretion (Homeostatic Model Assessment of β-cell index) at 1 year postpartum (all p≤0.04) after adjusting for confounders. Breastfeeding was associated with higher insulin resistance-adjusted insulin secretion (Insulin Secretion-Sensitivity Index-2) in the unadjusted analyses only. There was no association between breastfeeding duration and bone density. Compared with <6 months, breastfeeding duration ≥6 months was associated with lower weight, weight retention, body fat, fat-free mass as well as lower CRP at 1 year postpartum (all p<0.05) after adjusting for confounders. Longer breastfeeding duration among women with prior GDM was associated with lower insulin resistance, weight, weight retention, body fat and inflammation, but not lower bone density at 1 year postpartum. Breastfeeding for ≥6 months after GDM can help to improve cardiometabolic health outcomes 1 year after delivery.",['Hebeisen I; Gonzalez Rodriguez E; Arhab A; Gross J; Schenk S; Gilbert L; Benhalima K; Horsch A; Quansah DY; Puder JJ'],2024,prospectively included 171 women with prior gestational diabetes mellitus. women were followed during pregnancy (from 24 up to 32 weeks' gestational age) up to 1 year postpartum.
Refining Risk Stratification of High-risk and Locoregional Prostate Cancer: A Pooled Analysis of Randomized Trials.,"Radiotherapy (RT) and long-term androgen deprivation therapy (ltADT; 18-36 mo) is a standard of care in the treatment of high-risk localized/locoregional prostate cancer (HRLPC). We evaluated the outcomes in patients treated with RT + ltADT to identify which patients have poorer prognosis with standard therapy. Individual patient data from patients with HRLPC (as defined by any of the following three risk factors [RFs] in the context of cN0 disease-Gleason score ≥8, cT3-4, and prostate-specific antigen [PSA] >20 ng/ml, or cN1 disease) treated with RT and ltADT in randomized controlled trials collated by the Intermediate Clinical Endpoints in Cancer of the Prostate group. The outcome measures of interest were metastasis-free survival (MFS), overall survival (OS), time to metastasis, and prostate cancer-specific mortality. Multivariable Cox and Fine-Gray regression estimated hazard ratios (HRs) for the three RFs and cN1 disease. A total of 3604 patients from ten trials were evaluated, with a median PSA value of 24 ng/ml. Gleason score ≥8 (MFS HR = 1.45; OS HR = 1.42), cN1 disease (MFS HR = 1.86; OS HR = 1.77), cT3-4 disease (MFS HR = 1.28; OS HR = 1.22), and PSA >20 ng/ml (MFS HR = 1.30; OS HR = 1.21) were associated with poorer outcomes. Adjusted 5-yr MFS rates were 83% and 78%, and 10-yr MFS rates were 63% and 53% for patients with one and two to three RFs, respectively; corresponding 10-yr adjusted OS rates were 67% and 60%, respectively. In cN1 patients, adjusted 5- and 10-yr MFS rates were 67% and 36%, respectively, and 10-yr OS was 47%. HRLPC patients with two to three RFs (and cN0) or cN1 disease had the poorest outcomes on RT and ltADT. This will help in counseling patients treated in routine practice and in guiding adjuvant trials in HRLPC. Radiotherapy and long-term hormone therapy are standard treatments for high-risk and locoregional prostate cancer. In this report, we defined prognostic groups within high-risk/locoregional prostate cancer and showed that outcomes to standard therapy are poorest in those with two or more ""high-risk"" factors or evidence of lymph node involvement. Such patients may therefore be the best candidates for intensification of treatment.","[""Ravi P; Xie W; Buyse M; Halabi S; Kantoff PW; Sartor O; Attard G; Clarke N; D'Amico A; Dignam J; James N; Fizazi K; Gillessen S; Parulekar W; Sandler H; Spratt DE; Sydes MR; Tombal B; Williams S; Sweeney CJ""]",2024,RT and long-term androgen deprivation therapy is a standard of care in the treatment of high-risk localized/locoregional prostate cancer (HRLPC). ltADT is a standard of care in the treatment of high-risk localized/locoregional prostate cancer (HRLPC)
Transition probabilities of diabetic retinopathy and death in an Asian population with Diabetes.,"To evaluate the dynamic transitions in diabetic retinopathy (DR) severity over time and associated risk factors in an Asian population with diabetes. Longitudinal cohort study METHODS: We analyzed data from 9481 adults in the Singapore Integrated Diabetic Retinopathy Screening Program (2010-2015) with linkage to death registry. A multistate Markov model adjusted for age, sex, systolic blood pressure (SBP), diabetes duration, HbA1c, and body mass index (BMI) was applied to estimate annual transition probabilities between four DR states (no, mild, moderate, and severe/proliferative) and death, and the mean sojourn time in each state. The median assessment interval was 12 months, with most patients having 3 assessments. Annual probabilities for DR progression (no-to-mild, mild-to-moderate and moderate-to-severe/proliferative) were 6.1%, 7.0% and 19.3%, respectively; and for regression (mild-to-no, moderate-to-mild and severe-to-moderate) were 55.4%, 17.3% and 4.4%, respectively. Annual mortality rates from each DR state were 1.2%, 2.0%, 18.7%, and 30.0%. The sojourn time in each state were 8.2, 0.8, 0.8 and 2.2 years. Higher HbA1c and SBP levels were associated with progression of no-mild and mild-moderate DR, and diabetes duration with no-to-mild and moderate-to-severe/proliferative DR. Lower HbA1c levels were associated with regression from mild-to-no and moderate-to-mild, and higher BMI with mild-to-no DR. Our results suggest a prolonged duration (~8 years) in developing mild DR, with faster transitions (within a year) from mild or moderate states. Moderate/above DR greatly increases the probability of progression and death as compared to mild DR/below. HbA1c was associated with both progression as well as regression.",['Seshasai S; He F; Wen BLJ; Hamzah H; Cheng CY; Li J; Wong TY; Tan GSW; Sabanayagam C'],2024,"9481 adults in the Singapore Integrated Diabetic Retinopathy Screening Program analyzed data. a multistate Markov model adjusted for age, sex, systolic blood pressure (SBP), diabetes duration, HbA1c, and body mass index (BMI) was applied to estimate annual transition probabilities between four DR states. annual mortality rates from each DR state were 1.2%, 2.0%, 18.7%, and 30.0%."
Survival Outcomes of Patients with Esophageal Cancer and Post-chemoradiotherapy Surgical T4b Disease: Is Palliative Resection Justified?,"In patients with locally advanced esophageal cancer who had undergone chemoradiotherapy (CRT), the limitations of radiological evaluation may necessitate surgical exploration to ascertain disease resectability. Upon intraoperative confirmation of T4b disease (sT4b), the optimal management strategy remains unclear. While some surgeons may opt against resection, others advocate for palliative esophagectomy (PE). Regrettably, the current literature does not provide a consensus on the most effective approach for managing these intricate cases. The study cohort consisted of 68 patients with esophageal squamous cell carcinoma (ESCC) who presented with sT4b disease following CRT. The perioperative outcomes and overall survival (OS) were compared between patients who underwent PE (n = 56) and those who received an open-close (OC) procedure (n = 12). Patients who underwent an OC procedure experienced a shorter hospital stay (16.5 vs. 28.8 days; p = 0.052) and showed a non-significant reduction in the rate of major complications (33.9% vs. 25%; p = 0.549) and in-hospital mortality (0% vs. 5.4%; p = 0.412) than those who received PE; however, PE was associated with a superior 2-year OS rate than OC (9.6% vs. 0%; p = 0.009). In multivariable analysis, a pretreatment clinical stage of II/III (hazard ratio [HR] 0.51, 95% confidence interval [CI] 0.31-0.87; p = 0.013) and PE with retrosternal reconstruction (HR 0.38, 95% CI 0.15-0.49; p = 0.010) were independently associated with a more favorable OS. PE with retrosternal reconstruction may be a feasible approach for patients with ESCC exhibiting sT4b disease after CRT.",['Yang TY; Yeh CJ; Chiu CH; Chao YK'],2024,esophageal squamous cell carcinoma (ESCC) presented with sT4b disease following CRT. a pretreatment clinical stage of II/III (ii) was associated with a superior 2-year OS rate than OC (9.6% vs. 0%; p = 0.009).
The risk of endocrine immune-related adverse events induced by PD-1 inhibitors in cancer patients: a systematic review and meta-analysis.,"Endocrinopathies are the most common immune-related adverse events (irAEs) observed during therapy with PD-1 inhibitors. In this study, we conducted a comprehensive systematic review and meta-analysis to evaluate the risk of immune-related endocrinopathies in patients treated with PD-1 inhibitors. We performed a systematic search in the PubMed, Embase, and Cochrane Library databases to retrieve all randomized controlled trials (RCTs) involving PD-1 inhibitors, spanning from their inception to November 24, 2023. The comparative analysis encompassed patients undergoing chemotherapy, targeted therapy, or receiving placebo as control treatments. This study protocol has been registered with PROSPERO (CRD42023488303). A total of 48 clinical trials comprising 24,514 patients were included. Compared with control groups, patients treated with PD-1 inhibitors showed an increased risk of immune-related adverse events, including hypothyroidism, hyperthyroidism, hypophysitis, thyroiditis, diabetes mellitus, and adrenal insufficiency. Pembrolizumab was associated with an increased risk of all aforementioned endocrinopathies (hypothyroidism: RR=4.76, 95%CI: 3.55-6.39; hyperthyroidism: RR=9.69, 95%CI: 6.95-13.52; hypophysitis: RR=5.47, 95%CI: 2.73-10.97; thyroiditis: RR=5.95, 95%CI: 3.02-11.72; diabetes mellitus: RR=3.60, 95%CI: 1.65-7.88; adrenal insufficiency: RR=4.80, 95%CI: 2.60-8.88). Nivolumab was associated with an increased risk of hypothyroidism (RR=7.67, 95%CI: 5.00-11.75) and hyperthyroidism (RR=9.22, 95%CI: 4.71-18.04). Tislelizumab and sintilimab were associated with an increased risk of hypothyroidism (RR=19.07, 95%CI: 5.46-66.69 for tislelizumab and RR=18.36, 95%CI: 3.58-94.21 for sintilimab). For different tumor types, both hypothyroidism and hyperthyroidism were at high risks. Besides, patients with non-small cell lung cancer were at a higher risk of thyroiditis and adrenal insufficiency. Patients with melanoma were at a higher risk of hypophysitis and diabetes mellitus. Both low- and high-dose group increased risks of hypothyroidism and hyperthyroidism. Risk of endocrine irAEs may vary in different PD-1 inhibitors and different tumor types. Increased awareness and understanding of the risk features of endocrine irAEs associated with PD-1 inhibitors is critical for clinicians. crd.york.ac.uk/prospero, identifier PROSPERO (CRD42023488303).",['Zhao P; Zhao T; Yu L; Ma W; Liu W; Zhang C'],2024,endocrinopathies are the most common immune-related adverse events (irAEs) observed during therapy with PD-1 inhibitors. a systematic review and meta-analysis was performed to evaluate the risk of immune-related endocrinopathies in patients treated with PD-1 inhibitors.
